,federal_district,federal_district_short,region_code,region_name,okato,id,name,name_short,year,e1,e2,e3,e4,e5,e6,e8,ege_budg,wos,scopus,rsci,rnd,total_income,square,phd_share,pps,rnd_private,pk
1046,Сибирский федеральный округ,СФО,17,Республика Тыва,93000000000,299,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тувинский государственный университет»,"Тувинский государственный университет, ТувГУ",2017,56.86,75.56,2.06,2670.85,180.04,70.0,3.45,57.3,8.1396,12.2094,494.1748,19767.4,698694.7,45284,61.11,266,4351.76,2749.05
1048,Уральский федеральный округ,УФО,72,Тюменская область,71000000000,300,Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Тюменский государственный архитектурно-строительный университет»,"ФГБОУ ВПО «Тюменский государственный архитектурно-строительный университет», ФГБОУ ВПО «ТюмГАСУ»",2014,60.75,117.33,1.35,1937.3,139.02,90.0,3.01,63.99,7.163099999999999,7.163099999999999,373.2013,49566.3,826517.5,55707,54.97,379,37854.52,5135.7
1053,Уральский федеральный округ,УФО,72,Тюменская область,71000000000,301,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тюменский индустриальный университет»,"ФГБОУ ВО «Тюменский индустриальный университет», ТИУ, Тюменский индустриальный университет",2017,64.54,120.66,4.84,3355.14,176.55,75.0,3.19,66.95,196.524,367.092,3758.3361,129786.1,3608959.1,220361,67.44,927,58938.66,11482.5
1058,Уральский федеральный округ,УФО,72,Тюменская область,71000000000,302,Федеральное государственное автономное образовательное учреждение высшего образования «Тюменский государственный университет»,"ФГАОУ ВО «Тюменский государственный университет», Тюменский государственный университет, ТюмГУ",2017,63.7,215.15,9.6,3320.96,181.34,,3.05,74.12,268.231,309.5092,2308.5645,193431.3,2985707.8,100232,74.82,773,347417.12,11670.55
1063,Приволжский федеральный округ,ПФО,18,Удмуртская Республика,94000000000,303,Федеральное государственное бюджетное образовательное учреждение высшего образования «Удмуртский государственный университет»,"ФГБОУ ВО «УдГУ», УдГУ, ФГБОУ ВО «Удмуртский государственный университет»",2017,63.32,82.71,3.41,2046.85,170.84,75.0,3.06,66.65,148.4718,124.1854,736.3580000000001,60189.1,1489494.8,65194,76.64,706,49031.7,9085.95
1068,Приволжский федеральный округ,ПФО,73,Ульяновская область,73000000000,304,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный педагогический университет имени И.Н. Ульянова»,"Ульяновский государственный педагогический университет имени И.Н. Ульянова, УлГПУ им. И.Н. Ульянова, ФГБОУ ВО «Ульяновский государственный педагогический университет имени И.Н. Ульянова», ФГБОУ ВО ""УлГПУ им. И.Н. Ульянова""",2017,66.16,122.41,6.45,1410.95,168.6,65.0,4.17,69.38,15.5232,27.913599999999995,857.2256,55543.2,640216.6,50368,75.98,352,39318.4,4404.6
1073,Приволжский федеральный округ,ПФО,73,Ульяновская область,73000000000,305,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный технический университет»,"УлГТУ, Ульяновский государственный технический университет",2017,61.72,253.37,5.21,2145.2,184.68,75.0,3.56,65.06,22.7592,44.4744,1385.5968000000005,85271.0,721967.6,80968,77.6,348,70163.76,4484.45
1078,Приволжский федеральный округ,ПФО,73,Ульяновская область,73000000000,306,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный университет»,"Ульяновский государственный университет, УлГУ, ФГБОУ ВО «Ульяновский государственный университет»",2017,61.18,250.46,8.53,1820.15,188.97,70.0,5.13,64.76,111.4135,110.7414,879.8306,189410.4,1376486.8,81966,79.11,517,60023.7,6798.6
1083,Уральский федеральный округ,УФО,66,Свердловская область,65000000000,308,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный архитектурно-художественный университет»,"ФГБОУ ВО «Уральский государственный архитектурно-художественный университет», Уральский государственный архитектурно-художественный университет, УрГАХУ",2017,74.45,115.98,1.61,1818.52,180.74,65.0,66.55,77.7,14.883000000000004,13.8182,287.01199999999994,23743.0,413986.4,25534,31.91,242,22677.82,1858.4
1088,Уральский федеральный округ,УФО,66,Свердловская область,65000000000,309,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный юридический университет»,"ФГБОУ ВО «Уральский государственный юридический университет», ФГБОУ ВО «УрГЮУ», УрГЮУ",2017,66.61,141.11,1.55,2319.92,185.33,65.0,4.16,83.94,43.0875,0.8042999999999999,877.4147,66461.7,1092681.9,21418,74.44,383,53351.9,5955.85
1093,Уральский федеральный округ,УФО,66,Свердловская область,65000000000,310,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный горный университет»,ФГБОУ ВО «УГГУ»,2017,56.03,76.85,2.91,1943.51,179.59,65.0,3.56,58.75,13.0942,27.0242,962.8416,35068.5,886918.7,55834,67.56,398,29937.56,4410.7
