,federal_district,federal_district_short,region_code,region_name,okato,id,name,name_short,year,e1,e2,e3,e4,e5,e6,e8,ege_budg,wos,scopus,rsci,rnd,total_income,square,phd_share,pps,rnd_private,pk
4,Южный федеральный округ,ЮФО,1,Республика Адыгея (Адыгея),79000000000,1,Федеральное государственное бюджетное образовательное учреждение высшего образования «Адыгейский государственный университет»,ФГБОУ ВО «АГУ»,2017,60.15,109.27,24.5,2044.22,158.43,65.0,5.75,61.82,3.993,17.024700000000003,1014.9843,39626.1,741335.0,60471,90.36,363,27054.39,4179.0
9,Сибирский федеральный округ,СФО,22,Алтайский край,1000000000,2,Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный педагогический университет»,ФГБОУ ВО «АлтГПУ»,2017,61.86,83.53,2.62,1570.19,160.01,70.0,3.79,64.85,11.2098,7.473199999999999,1204.0958,28098.2,528212.1,42861,78.76,314,20881.0,3720.65
14,Сибирский федеральный округ,СФО,22,Алтайский край,1000000000,3,Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный технический университет им. И.И. Ползунова»,"ФГБОУ ВО ""Алтайский государственный технический университет им. И.И. Ползунова"", АлтГТУ",2017,58.65,71.56,7.37,1685.53,187.37,75.0,5.2,61.95,73.2564,101.6158,1901.9532,47325.4,1114642.0,117213,73.5,646,37687.64,6840.5
19,Сибирский федеральный округ,СФО,22,Алтайский край,1000000000,4,Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный университет»,"ФГБОУ ВО «Алтайский государственный университет», Алтайский государственный университет, АлтГУ",2017,63.71,316.77,10.68,2659.27,209.8,65.0,3.75,69.49,249.9915,216.147,2154.5485,194069.6,1629199.2,54050,81.82,545,72626.7,9048.3
24,Дальневосточный федеральный округ,ДВФО,28,Амурская область,10000000000,5,Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский государственный университет»,"ФГБОУ ВО «Амурский государственный университет», ФГБОУ ВО «АмГУ», Амурский государственный университет, АмГУ",2017,58.65,138.38,3.0,2308.2,189.92,65.0,4.86,61.23,23.9051,28.6972,924.6537,48088.7,802098.3,44861,71.8,277,34001.75,3708.8
29,Дальневосточный федеральный округ,ДВФО,27,Хабаровский край,8000000000,6,Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский гуманитарно-педагогический государственный университет»,"ФГБОУ ВО «Амурский гуманитарно-педагогический государственный университет»,  ФГБОУ ВО «АмГПГУ»",2017,57.53,95.32,2.19,2353.44,152.65,65.0,3.85,58.2,4.4268,3.5462,271.23670000000004,12797.3,315949.0,26157,77.99,119,34433.840000000004,1353.8
34,Сибирский федеральный округ,СФО,38,Иркутская область,25000000000,7,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ангарский государственный технический университет»,"ФГБОУ ВО «АнГТУ»,  Ангарский  государственный технический университет",2017,51.17,104.56,0.2,2343.87,159.91,80.0,4.06,51.58,14.6592,42.0192,362.5056,10272.7,230284.8,28840,85.37,96,10037.76,1164.7
39,Южный федеральный округ,ЮФО,23,Краснодарский край,3000000000,9,Федеральное государственное бюджетное образовательное учреждение высшего образования «Армавирский государственный педагогический университет»,ФГБОУ ВО «АГПУ»,2017,64.04,69.5,8.73,1414.31,178.88,70.0,3.38,66.25,9.1164,9.9258,463.6797,17880.0,363830.7,10741,82.82,213,14068.65,2458.15
44,Южный федеральный округ,ЮФО,30,Астраханская область,12000000000,11,Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»,Астраханский государственный университет,2017,64.51,52.59,20.31,1659.81,172.18,65.0,4.01,66.02,30.5146,32.303200000000004,1024.109,31787.7,1003187.8,49872,76.48,542,15409.06,6184.55
49,Сибирский федеральный округ,СФО,38,Иркутская область,25000000000,12,Федеральное государственное бюджетное образовательное учреждение высшего образования «Байкальский государственный университет»,ФГБОУ ВО «БГУ»,2017,60.87,100.47,2.96,2253.23,185.91,65.0,3.78,73.15,33.6144,11.4432,828.0675,58792.2,1318474.9,46774,73.5,447,44910.09,6662.25
54,Северо-западный федеральный округ,СЗФО,78,г. Санкт-Петербург,40000000000,13,Федеральное государственное бюджетное образовательное учреждение высшего образования «Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова»,БГТУ «ВОЕНМЕХ» им. Д.Ф. Устинова,2017,62.84,400.65,4.87,2617.17,194.18,80.0,4.38,68.42,83.29809999999999,48.2832,796.1459000000001,202729.7,1324286.7,62411,56.57,479,92940.37,5386.2
59,Приволжский федеральный округ,ПФО,2,Республика Башкортостан,80000000000,14,Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный педагогический университет им. М. Акмуллы»,"ФГБОУ ВО «БГПУ им. М. Акмуллы», Башкирский государственный педагогический университет им. М. Акмуллы",2017,63.13,126.84,2.81,2746.87,178.91,70.0,3.0,64.78,27.0816,31.740800000000004,1683.864,49435.4,1070590.7,98208,73.9,364,46934.16,4934.4
64,Приволжский федеральный округ,ПФО,2,Республика Башкортостан,80000000000,15,Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет»,"ФГБОУ ВО «Башкирский государственный университет», Башкирский государственный университет, БашГУ",2017,66.85,198.97,3.5,1894.65,184.01,70.0,4.76,68.04,182.1222,228.7944,7817.013000000001,164915.1,1570378.5,97088,90.05,774,105952.86,9468.3
69,Центральный федеральный округ,ЦФО,31,Белгородская область,14000000000,16,Федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»,"БГТУ им. В.Г. Шухова, Белгородский государственный технологический университет им. В.Г. Шухова",2017,64.87,295.23,10.27,2062.01,172.02,75.0,3.8,64.86,81.45400000000001,102.1928,725.7468000000001,221655.4,1548156.6,99025,71.83,556,85935.36,8082.25
74,Центральный федеральный округ,ЦФО,31,Белгородская область,14000000000,17,Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»,"ФГАОУ ВО «Белгородский государственный  национальный исследовательский университет», Белгородский государственный  национальный исследовательский университет, НИУ ""БелГУ""",2017,64.4,621.22,20.66,2848.83,180.06,70.0,4.58,69.03,286.63019999999995,350.778,4877.5584,638428.5,2927744.9,192467,83.03,969,362473.83,10567.25
79,Сибирский федеральный округ,СФО,22,Алтайский край,1000000000,19,Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный гуманитарно-педагогический университет имени В.М. Шукшина»,АГГПУ им. В.М. Шукшина,2017,59.03,67.53,4.76,2214.38,202.46,70.0,3.14,59.59,18.291,15.5454,201.16980000000004,5760.0,188887.0,15243,88.28,78,4429.62,1009.05
84,Дальневосточный федеральный округ,ДВФО,28,Амурская область,10000000000,21,Федеральное государственное бюджетное образовательное учреждение высшего образования «Благовещенский государственный педагогический университет»,ФГБОУ ВПО «БГПУ»,2017,60.18,55.42,8.27,2381.03,173.08,70.0,4.56,60.38,7.929600000000001,9.6819,610.4022,11136.4,478467.9,23263,79.11,177,9809.34,2251.85
89,Сибирский федеральный округ,СФО,38,Иркутская область,25000000000,23,Федеральное государственное бюджетное образовательное учреждение высшего образования «Братский государственный университет»,ФГБОУ ВО «БрГУ»,2017,54.38,172.13,4.04,2135.99,148.68,70.0,5.1,54.73,4.599,11.487,262.836,47173.0,585367.5,64531,67.12,210,34740.3,2129.55
94,Центральный федеральный округ,ЦФО,32,Брянская область,15000000000,24,Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный инженерно-технологический университет»,"ФГБОУ ВО «Брянский государственный инженерно-технологический университет», ФГБОУ ВО «БГИТУ», БГИТУ",2017,55.88,66.24,4.87,1787.87,183.4,65.0,4.74,56.45,4.8506,16.4952,612.3921999999999,10783.2,291064.5,47679,81.62,158,10465.92,1766.8
99,Центральный федеральный округ,ЦФО,32,Брянская область,15000000000,25,Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный технический университет»,"ФГБОУ ВО «БГТУ», БГТУ, БГТУ (БИТМ), ФГБОУ ВО «Брянский государственный технический университет», Брянский государственный технический университет",2017,59.12,226.49,5.28,1635.8,192.46,65.0,4.21,59.63,43.14,68.85,1137.45,81899.8,591504.6,85026,77.19,300,59319.0,3750.6
104,Центральный федеральный округ,ЦФО,32,Брянская область,15000000000,26,Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный университет имени академика И.Г. Петровского»,"ФГБОУ ВО «Брянский государственный университет имени академика И.Г. Петровского», БГУ",2017,66.67,66.56,2.38,1837.51,210.86,65.0,3.73,71.37,37.271,56.8825,1250.4085,20698.7,571466.2,119528,84.75,305,19806.7,4186.7
109,Сибирский федеральный округ,СФО,3,Республика Бурятия,81000000000,27,Федеральное государственное бюджетное образовательное учреждение высшего образования «Бурятский государственный университет имени Доржи Банзарова»,ФГБОУ ВО «БГУ»,2017,59.28,68.95,2.63,1824.63,140.22,65.0,4.88,62.15,87.7348,100.6128,1979.7596,32293.2,854563.5,68224,90.23,548,31131.88,5292.9
114,Дальневосточный федеральный округ,ДВФО,25,Приморский край,5000000000,28,Федеральное государственное бюджетное образовательное учреждение высшего образования «Владивостокский государственный университет экономики и сервиса»,"ФГБОУ ВО «ВГУЭС», ВГУЭС, Владивостокский государственный университет экономики и сервиса, ФГБОУ ВО «Владивостокский государственный университет экономики и сервиса»",2017,60.18,159.4,8.17,5056.62,212.01,65.0,2.9,70.42,41.89679999999999,59.2152,695.0856000000001,46193.0,1465409.1,126879,74.08,264,35259.840000000004,4549.6
119,Центральный федеральный округ,ЦФО,33,Владимирская область,17000000000,30,Федеральное государственное бюджетное образовательное учреждение высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых»,"ФГБОУ ВО «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых», ВлГУ",2017,61.55,180.17,4.42,1997.62,201.21,80.0,3.61,63.41,155.11880000000002,238.87760000000003,1750.6391999999998,157439.2,1745623.9,96646,72.88,892,90511.24,9766.15
121,Южный федеральный округ,ЮФО,34,Волгоградская область,18000000000,33,Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Волгоградский государственный архитектурно-строительный университет»,"ВолгГАСУ, ФГБОУ ВПО «ВолгГАСУ»",2014,54.25,62.41,3.48,1349.53,122.87,80.0,4.3,54.84,1.022,13.359000000000002,709.852,22142.1,483336.0,40764,71.35,365,18531.050000000003,3410.3
125,Южный федеральный округ,ЮФО,34,Волгоградская область,18000000000,34,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный социально-педагогический университет»,ФГБОУ ВО «ВГСПУ»,2017,69.16,61.76,4.63,1505.22,131.93,75.0,5.26,70.84,48.551,37.177,1951.44,28111.3,685177.1,53062,82.69,470,25944.0,4050.35
130,Южный федеральный округ,ЮФО,34,Волгоградская область,18000000000,35,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный технический университет»,"ФГБОУ ВО «Волгоградский государственный технический университет», Волгоградский государственный технический университет, ВолгГТУ",2017,56.99,514.05,7.96,2476.94,167.69,70.0,4.28,58.07,275.2165,336.648,1799.7655000000002,424526.5,2045584.7,143383,78.61,845,494460.2,7952.55
135,Южный федеральный округ,ЮФО,34,Волгоградская область,18000000000,36,Федеральное государственное автономное образовательное учреждение высшего образования «Волгоградский государственный университет»,"ВолГУ, ФГАОУ ВО «Волгоградский государственный университет», Волгоградский государственный университет, ФГАОУ ВО ВолГУ",2017,63.1,103.67,3.73,1670.17,161.38,75.0,5.08,67.39,189.06,141.81799999999998,2465.002,54477.8,877672.4,55129,79.43,460,1159.2,5697.15
140,Северо-западный федеральный округ,СЗФО,35,Вологодская область,19000000000,39,Федеральное государственное бюджетное образовательное учреждение высшего образования «Вологодский государственный университет»,"ВоГУ, ФГБОУ ВО «ВоГУ», ФГБОУ ВО «Вологодский государственный университет», Вологодский государственный университет",2017,60.3,41.05,0.52,1987.71,178.2,75.0,3.91,60.85,74.14699999999999,47.488,1725.521,18772.9,909078.3,111872,71.61,530,17977.600000000002,5140.0
145,Центральный федеральный округ,ЦФО,36,Воронежская область,20000000000,40,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный лесотехнический университет имени Г.Ф. Морозова»,"ВГЛТУ, ВГЛТУ им. Г.Ф. Морозова, ФГБОУ ВО «ВГЛТУ», Воронежский государственный лесотехнический университет",2017,60.3,203.46,23.38,2230.17,182.2,65.0,3.46,65.08,15.6742,25.4624,1112.2796,45299.7,496547.5,35804,81.21,218,40138.16,2417.15
150,Центральный федеральный округ,ЦФО,36,Воронежская область,20000000000,41,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный университет инженерных технологий»,"ФГБОУ ВО «Воронежский государственный университет инженерных технологий», ФГБОУ ВО «ВГУИТ»",2017,57.55,173.23,10.46,2025.48,191.91,70.0,3.92,60.24,30.4029,43.5564,1414.4841,56932.0,665673.6,38548,82.28,333,15304.68,4123.6
152,Центральный федеральный округ,ЦФО,36,Воронежская область,20000000000,42,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный архитектурно-строительный университет»,Воронежский ГАСУ,2014,61.41,71.41,4.56,1422.08,146.46,75.0,4.99,65.45,10.0167,13.3749,876.4902000000001,49437.2,985058.6,79242,69.67,579,23403.18,6869.4
157,Центральный федеральный округ,ЦФО,36,Воронежская область,20000000000,43,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный педагогический университет»,"ФГБОУ ВО «Воронежский государственный педагогический университет», ФГБОУ ВО ""ВГПУ"", «Воронежский государственный педагогический университет», ВГПУ",2017,64.1,53.59,9.48,1452.03,192.98,75.0,3.8,67.77,33.499500000000005,36.5355,638.4225000000001,18214.8,493545.3,31492,75.9,345,7151.85,3625.0
162,Центральный федеральный округ,ЦФО,36,Воронежская область,20000000000,44,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный технический университет»,"ФГБОУ ВО «Воронежский государственный технический университет», Воронежский государственный технический университет, ФГБОУ ВО «ВГТУ», ВГТУ",2017,61.4,233.15,5.09,2322.47,209.53,75.0,4.47,64.31,124.4724,197.6975,3236.1797,215530.9,2147007.8,91749,90.71,1027,158825.55000000002,11619.0
167,Центральный федеральный округ,ЦФО,36,Воронежская область,20000000000,45,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный университет»,ФГБОУ ВПО «ВГУ»,2017,67.21,165.26,3.89,1741.35,182.31,70.0,5.68,70.99,628.1080000000001,347.721,1890.8775,227192.8,2394011.7,114886,78.17,1285,116986.4,14351.95
172,Сибирский федеральный округ,СФО,3,Республика Бурятия,81000000000,46,Федеральное государственное бюджетное образовательное учреждение высшего образования «Восточно-Сибирский государственный университет технологий и управления»,"Восточно-Сибирский государственный университет технологий и управления, ВСГУТУ",2017,53.58,80.04,2.41,2294.24,174.73,60.0,3.75,53.89,28.577600000000004,57.1976,394.2776,28488.6,816633.1,95369,93.46,424,23701.6,4543.85
177,Северо-западный федеральный округ,СЗФО,78,г. Санкт-Петербург,40000000000,48,Федеральное государственное бюджетное образовательное учреждение высшего образования «Высшая школа народных искусств (академия)»,"ФГБОУ ВО «Высшая школа народных искусств (академия)», ВШНИ, Высшая школа народных искусств (академия)",2017,95.89,471.79,4.89,4007.71,211.95,55.0,65.22,79.63,0.0,0.0,117.6542,12266.5,104200.4,3654,92.31,23,494.96,204.4
179,Приволжский федеральный округ,ПФО,43,Кировская область,33000000000,49,Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Вятский государственный гуманитарный университет»,"ВятГГУ, ФГБОУ ВПО «Вятский государственный гуманитарный университет», Вятский государственный гуманитарный университет",2014,60.37,53.09,1.73,1753.89,174.95,80.0,3.03,64.26,2.9952,11.024,618.3008,22075.1,740711.6,74748,68.61,416,9692.8,5308.1
184,Приволжский федеральный округ,ПФО,43,Кировская область,33000000000,50,Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Вятский государственный университет»,"ФГБОУ ВПО «ВятГУ», ВятГУ, Вятский государственный университет",2017,65.96,108.25,1.96,2020.69,198.45,75.0,2.97,65.76,142.99790000000002,201.3146,3686.0719,93513.7,1745575.0,127659,77.47,787,32573.93,11782.75
189,Центральный федеральный округ,ЦФО,50,Московская область,46000000000,51,Федеральное государственное бюджетное образовательное учреждение высшего образования «Гжельский государственный университет»,"ФГБОУ ВО «ГГУ», ГГУ, Гжельский государственный университет",2017,60.31,97.19,6.86,3545.64,190.12,80.0,2.53,66.79,4.7731,17.505300000000002,218.0168,7206.6,262909.0,10849,95.64,59,5734.21,808.8
194,Приволжский федеральный округ,ПФО,18,Удмуртская Республика,94000000000,52,Федеральное государственное бюджетное образовательное учреждение высшего образования «Глазовский государственный педагогический институт имени В.Г. Короленко»,"ГГПИ, Глазовский государственный педагогический институт, ФГБОУ ВО «ГГПИ»",2017,69.29,79.3,5.06,2667.25,174.82,90.0,4.18,69.29,10.1528,6.4582,324.821,8421.3,283261.8,23493,77.24,98,6866.86,1374.1
199,Сибирский федеральный округ,СФО,4,Республика Алтай,84000000000,53,Федеральное государственное бюджетное образовательное учреждение высшего образования «Горно-Алтайский государственный университет»,"ФГБОУ ВО ГАГУ, Горно-Алтайский государственный университет",2017,58.36,83.32,6.29,2005.84,178.77,60.0,6.15,58.88,6.467,11.0608,627.3881999999999,20139.2,484812.7,30749,76.71,223,5929.57,1872.5
201,Центральный федеральный округ,ЦФО,77,г. Москва,45000000000,54,Федеральное государственное образовательное учреждение высшего профессионального образования Государственная академия славянской культуры,ФГБОУ ВПО «ГАСК»,2014,58.54,33.05,4.05,1718.84,69.56,0.0,33.47,0.0,1.2717,1.2717,66.07169999999999,2106.9,109576.1,7014,39.77,81,0.0,359.7
203,Центральный федеральный округ,ЦФО,77,г. Москва,45000000000,55,Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Государственная классическая академия имени Маймонида»,ФГБОУ ВПО ГКА имени Маймонида,2014,69.09,47.91,1.5,1361.23,88.06,45.0,7.09,72.46,4.8348,8.976,94.5744,14157.3,402243.6,31549,57.25,204,0.0,2199.0
204,Северо-западный федеральный округ,СЗФО,78,г. Санкт-Петербург,40000000000,56,Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Государственная полярная академия»,Государственная полярная академия,2014,62.68,14.45,12.87,1438.49,82.69,0.0,3.93,63.48,0.0,4.2768,40.6494,1337.4,133131.9,8347,70.8,99,1072.17,1243.35
209,Центральный федеральный округ,ЦФО,77,г. Москва,45000000000,57,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный академический университет гуманитарных наук»,ГАУГН,2017,70.31,565.01,2.14,2603.3,187.65,70.0,4.46,79.51,28.7866,30.0235,129.38469999999998,56586.1,260720.1,5615,66.55,31,6196.900000000001,1245.5
214,Центральный федеральный округ,ЦФО,77,г. Москва,45000000000,58,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный институт русского языка им. А.С. Пушкина»,ФГБОУ ВО «Гос. ИРЯ им. А.С. Пушкина»,2017,90.42,369.46,26.5,7228.4,184.32,60.0,13.38,92.0,4.4198,3.5378,115.9144,40917.8,800545.1,14985,77.29,98,0.0,569.75
219,Центральный федеральный округ,ЦФО,77,г. Москва,45000000000,59,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский технологический университет «МИСиС»,"МИСиС, НИТУ «МИСиС»",2017,76.84,2543.2,24.29,8580.07,192.48,80.0,5.77,82.88,1550.966,1419.69,1712.2859999999998,1691485.6,5706607.1,175758,78.37,740,909201.0,7063.4
224,Центральный федеральный округ,ЦФО,77,г. Москва,45000000000,60,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный университет управления»,ГУУ,2017,70.48,163.6,4.15,3979.51,185.56,75.0,3.81,81.39,27.4467,28.8792,1065.8373,64906.9,1578870.5,92201,92.63,573,15110.01,6702.45
229,Северо-Кавказский федеральный округ,СКФО,20,Чеченская Республика,96000000000,61,Федеральное государственное бюджетное образовательное учреждение высшего образования «Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова»,"ФГБОУ ВО «ГГНТУ им. акад. М.Д. Миллионщикова», ГГНТУ им. акад. М.Д. Миллионщикова",2017,49.97,193.76,0.19,1836.8,181.82,55.0,3.43,49.44,9.7384,17.8488,412.772,70721.0,670432.5,55021,64.52,296,46300.32,3850.9
234,Северо-Кавказский федеральный округ,СКФО,5,Республика Дагестан,82000000000,62,Федеральное государственное бюджетное образовательное учреждение высшего образования «Дагестанский государственный педагогический университет»,Дагестанский государственный педагогический университет,2017,53.4,60.69,1.72,1471.43,125.17,40.0,2.85,53.75,12.5892,12.5892,968.9472,22568.9,547223.0,39150,79.36,468,29081.52,4035.95
239,Северо-Кавказский федеральный округ,СКФО,5,Республика Дагестан,82000000000,63,Федеральное государственное бюджетное образовательное учреждение высшего образования «Дагестанский государственный технический университет»,ФГБОУ ВПО «ДГТУ»,2017,51.3,250.24,1.73,1483.99,183.46,30.0,6.07,51.56,10.08,14.644,836.8919999999999,76523.1,453803.1,69928,87.75,280,44783.2,2547.6
244,Северо-Кавказский федеральный округ,СКФО,5,Республика Дагестан,82000000000,64,Федеральное государственное бюджетное образовательное учреждение высшего образования «Дагестанский государственный университет»,"ФГБОУ ВО «Дагестанский государственный университет», ФГБОУ ВО «ДГУ», Дагестанский государственный университет, ДГУ",2017,58.66,149.92,1.23,1452.2,182.99,40.0,5.2,59.75,124.1045,133.8584,2457.6656000000003,110149.6,1066932.7,72571,76.97,793,90901.59,8000.9
249,Дальневосточный федеральный округ,ДВФО,79,Еврейская автономная область,99000000000,66,Федеральное государственное бюджетное образовательное учреждение высшего образования «Приамурский государственный университет имени Шолом-Алейхема»,ФГБОУ ВО «ПГУ им. Шолом-Алейхема»,2017,59.09,70.21,6.1,2769.92,206.21,65.0,3.86,60.06,4.859,17.002200000000002,302.04920000000004,7456.4,294165.1,36646,77.99,86,3961.16,1133.55
250,Дальневосточный федеральный округ,ДВФО,27,Хабаровский край,8000000000,67,Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Дальневосточный государственный гуманитарный университет»,"ФГБОУ ВПО «ДВГГУ», ДВГГУ",2014,56.53,15.63,1.46,1433.24,120.4,75.0,4.27,62.28,0.0,0.0,157.5924,4334.4,406059.0,33547,68.92,257,3001.76,2267.95
255,Южный федеральный округ,ЮФО,61,Ростовская область,60000000000,70,Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Донской государственный технический университет»,"Донской государственный технический университет, ДГТУ",2017,57.9,117.17,9.76,1972.95,183.16,65.0,4.13,58.04,486.798,403.848,7176.201999999999,216361.2,3643246.0,193289,67.62,1580,102115.4,19070.35
260,Центральный федеральный округ,ЦФО,48,Липецкая область,42000000000,72,Федеральное государственное бюджетное образовательное учреждение высшего образования «Елецкий государственный университет им. И.А. Бунина»,"ФГБОУ ВО «Елецкий государственный университет им. И.А. Бунина», ЕГУ им. И.А. Бунина",2017,61.45,117.05,1.87,2040.06,160.14,65.0,4.01,61.6,55.594,43.6772,2882.3228,23527.1,410051.2,62802,80.33,266,14606.06,2259.95
265,Центральный федеральный округ,ЦФО,37,Ивановская область,24000000000,76,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный университет»,"ИвГУ, ФГБОУ ВО ИвГУ, ФГБОУ ВО ""Ивановский государственный университет"", Ивановский государственный университет",2017,62.6,72.51,8.53,2054.38,126.73,55.0,6.39,66.29,59.131800000000005,63.063,987.5229,20085.9,569063.4,43983,84.47,273,12465.179999999998,2433.3
270,Центральный федеральный округ,ЦФО,37,Ивановская область,24000000000,77,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный химико-технологический университет»,"ФГБОУ ВО «ИГХТУ», ИГХТУ",2017,60.22,310.81,6.22,2040.27,189.48,70.0,4.6,60.5,179.703,206.4678,625.1597999999999,79986.0,525064.1,43361,85.37,246,48695.7,2988.8
275,Центральный федеральный округ,ЦФО,37,Ивановская область,24000000000,78,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный энергетический университет имени В.И. Ленина»,"ФГБОУ ВО «ИГЭУ», ИГЭУ, Ивановский государственный энергетический университет имени В.И. Ленина",2017,64.85,219.75,2.32,1855.65,203.23,85.0,4.92,67.09,26.8383,51.6627,605.2797,87440.0,738363.8,88101,70.65,411,37585.95,3703.9
280,Приволжский федеральный округ,ПФО,18,Удмуртская Республика,94000000000,79,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ижевский государственный технический университет имени М.Т. Калашникова»,ФГБОУ ВО «ИжГТУ имени М.Т. Калашникова»,2017,60.71,139.46,3.77,2138.68,183.82,75.0,3.49,63.22,330.40200000000004,262.509,6626.484,74053.5,1135640.3,94360,69.98,530,61299.8,5942.95
285,Северо-Кавказский федеральный округ,СКФО,6,Республика Ингушетия,26000000000,80,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ингушский государственный университет»,"ИнгГУ, ФГБОУ ВО «ИнгГУ», Ингушский государственный университет,  ФГБОУ ВО «Ингушский государственный университет»",2017,61.11,107.01,0.5,2967.27,164.5,70.0,3.77,64.59,3.7335,5.586,420.2895,32800.0,909467.0,52961,84.02,285,0.0,3754.3
290,Сибирский федеральный округ,СФО,38,Иркутская область,25000000000,82,Федеральное государственное бюджетное образовательное учреждение высшего образования «Иркутский национальный исследовательский технический университет»,"ФГБОУ ВО «ИРНИТУ», ИРНИТУ",2017,60.46,280.78,9.0,2911.02,192.62,70.0,3.79,66.22,133.4817,232.7418,3145.6809,236964.3,2456751.4,131714,74.82,873,217804.77,10689.95
295,Сибирский федеральный округ,СФО,38,Иркутская область,25000000000,83,Федеральное государственное бюджетное образовательное учреждение высшего образования «Иркутский государственный университет»,"ФГБОУ ВО «ИГУ», ИГУ, Иркутский государственный университет",2017,61.0,189.7,3.64,2215.88,189.53,70.0,4.48,61.9,200.19870000000003,242.749,2972.8906999999995,168794.9,1971690.6,140159,73.43,923,68449.68,10223.2
300,Северо-Кавказский федеральный округ,СКФО,7,Кабардино-Балкарская Республика,83000000000,85,Федеральное государственное бюджетное образовательное учреждение высшего образования «Кабардино-Балкарский государственный университет им. Х.М. Бербекова»,"КБГУ, Кабардино-Балкарский государственный университет им. Х.М. Бербекова",2017,60.47,191.76,7.91,2539.75,186.65,30.0,4.5,63.18,74.6172,127.4616,1326.6666,104900.7,1389370.9,132400,77.21,567,46987.29,7511.4
305,Приволжский федеральный округ,ПФО,16,Республика Татарстан (Татарстан),92000000000,86,Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский государственный архитектурно-строительный университет»,КазГАСУ,2017,64.1,109.04,3.73,1796.18,195.99,75.0,5.08,74.1,50.4654,61.8428,621.6736999999999,46769.1,770381.7,55197,80.57,349,38390.0,5472.65
310,Приволжский федеральный округ,ПФО,16,Республика Татарстан (Татарстан),92000000000,87,Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ»,"КНИТУ-КАИ, ФГБОУ ВО «КНИТУ-КАИ», Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ",2017,68.91,1135.7,4.78,4076.76,214.59,85.0,4.74,73.51,273.88,371.9424,1858.6432,750643.9,2694533.8,137565,75.47,668,507880.4,7200.3
315,Приволжский федеральный округ,ПФО,16,Республика Татарстан (Татарстан),92000000000,88,Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский национальный исследовательский технологический университет»,ФГБОУ ВО «КНИТУ»,2017,63.23,728.41,10.76,2885.25,211.37,75.0,4.47,65.6,341.62260000000003,363.5112,2409.9234,916192.2,3629066.7,175314,80.06,1146,783233.7000000001,13675.9
